EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Open Mat,Holiday Open Mat,Unit 232,Littleton,Massachusetts,Friday,12/26/2025,
Comp,Grappling Industries,,Milford,New Hampshire,Sunday,12/28/2025,
Open Mat,New Years Open Mat,Underdog MMA,West Hartford,Connecticut,Friday,01/02/2026,
Comp,Grappling Industries,,Boston,Massachusetts,Saturday,01/03/2026,
Comp (Invite),Reality Righting,Mohegan Sun Arena,Uncasville,Connecticut,Saturday,01/03/2026,
Seminar,Diego Pato,Morselli Jiu Jitsu,Taunton,Massachusetts,Saturday,01/10/2026,
Seminar,Marcos Cunha,TMC Danbury BJJ,Danbury,Connecticut,Saturday,01/10/2026,
Women's Only,True Strength All Levels Event,RedZone Jiu Jitsu,Monroe,Connecticut,Sunday,01/11/2026,
Women's Only,Women’s Only Open Mat,Team Flo,Tyngsboro,Massachusetts,Tuesday,01/13/2026,
Seminar,Marcelo Alonso,Kevin Watson BJJ,Dover,New Hampshire,Saturday,01/17/2026,
Comp,Gaman Submission Challenge,,Newtown,Connecticut,Saturday,01/17/2026,
Comp (Invite),Fight Back - Women’s Only Invtnl.,Integrated Martial Arts,West Boylston,Massachusetts,Saturday,01/17/2026,
Comp (Invite),Flow Sub Only Underground 6,,Rockland,Maine,Saturday,01/17/2026,
Seminar,Shawn Melanson,Alpha Nerds Facility,Natick,Massachusetts,Saturday,01/24/2026,
Seminar,Justin “JFLO” Flores,Summit Jiu Jitsu,Stamford,Connecticut,Friday,01/30/2026,
Comp,NAGA Grappling,,Tiverton,Rhode Island,Saturday,01/31/2026,
Comp,United Grappling,,Danbury,Connecticut,Sunday,02/01/2026,
Comp,Gaman Mass Open,,Tyngsboro,Massachusetts,Sunday,02/08/2026,
Comp,Gaman Connecticut Open,,Newtown,Connecticut,Saturday,02/14/2026,
Seminar,Meyram Maquine,BTT Boston,Everett,Massachusetts,Saturday,02/21/2026,
Seminar,Joel Bane,Technique BJJ,Prospect,Connecticut,Saturday,02/21/2026,
Comp,World Championship Grappling,,Sturbridge,Massachusetts,Saturday,02/21/2026,
Comp,Grappling Industries,,Milford,New Hampshire,Saturday,02/21/2026,
Comp (Invite),Combat Zone 91,,Manchester,New Hampshire,Saturday,02/21/2026,
Seminar,Joel Bane,Technique BJJ,Prospect,Connecticut,Sunday,02/22/2026,
Comp (Invite),TLP Saint Patrick’s Grappling Clash,,Windsor,Connecticut,Saturday,03/07/2026,
